Date,Count
2023-11-28,3
2023-11-29,1
2023-12-06,1
2024-07-15,3
2024-07-19,4
2024-07-22,1
2024-07-25,5
2024-07-26,6
2024-07-29,1
2024-07-30,4
2024-07-31,7
2024-08-01,2
2024-08-02,5
2024-08-03,3
2024-08-04,4
2024-08-05,4
2024-08-06,11
2024-08-08,1
2024-08-09,6
2024-08-10,4
2024-08-12,4
2024-08-13,6
2024-08-14,4
2024-08-15,11
2024-08-16,9
2024-08-17,3
2024-08-19,6
2024-08-20,2
2024-08-23,3
2024-08-24,4
2024-08-26,4
2024-08-27,3
2024-08-28,2
2024-08-29,3
2024-08-30,4
2024-09-01,1
2024-09-03,1
2024-09-05,2
2024-09-07,2
2024-09-09,9